property_id,property_address,source,file,type,date_in_document,date_in_filename,address_in_document,text_layer,confidence,notes
2406742000079865305,"1 Lancaster House, Browrigg Drive, Cramlington, NE23 6UN",zoho,EICR - 1 Lancaster House.pdf,EICR,,,"OCR: 1 Lancaster House, Brownrigg Drive Cramlington Northumberland NE23 GUN Description of premises: Domestic N/A Commercial N/A Industrial N/A O",no,low,"attached to Zoho 2026-04-27; scanned, no text; OCR (unverified) next inspection date: 2031-04-22"
2406742000079865305,"1 Lancaster House, Browrigg Drive, Cramlington, NE23 6UN",zoho,EPC - 1 Lancaster House.pdf,EPC,2036-04-12,,1 Lancaster House Brownrigg Drive CRAMLINGTON NE23 6UN,yes,high,attached to Zoho 2026-04-27; valid until
2406742000016173028,1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,zoho,1 lovinya court EICR 9-4-2030.pdf,EICR,,2030-04-09,OCR: |LOVINYACOURT installation taking into account the stated extent and limitations in PART 6 of this report. HILLINGDON AVENUE Postcode: TN133,no,low,"attached to Zoho 2025-04-22; scanned, no text"
2406742000016173028,1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,zoho,I lovinya Court EPC 11.4.2032.pdf,EPC,,2032-04-11,OCR:  (ЕPC) 1 Lovinya Court Energy rating Valid until: 11 April 2032 Hillingdon Avenue SEVENOAKS TN13 3QZ,no,low,"attached to Zoho 2022-04-21; scanned, no text; OCR (unverified) valid until: 2032-04-11"
2406742000016173028,1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,zoho,"Gas Cert for 1 Lovinya court hillingdon, 16-dec-2026.pdf",gas,,2026-12-16,,no,low,"attached to Zoho 2025-12-31; scanned, no text"
2406742000016173028,1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,zoho,Gas cert for 1 Lovinya Court 2023.pdf,gas,,,OCR: Name (Mr/Mrs/Miss/Ms) Name (Mr/Mrs/Miss/Ms). Gas Safe Register No _ LAD 585260 Outcome of gas tightness test? Number of Appliances tested Po,no,low,"attached to Zoho 2023-12-23; scanned, no text"
2406742000016173028,1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,zoho,"Gas cert for 1 Lovinya court, TN13, 21-Dec-2025.pdf",gas,,2025-12-21,OCR: Btuhh Pass/Fail/NA Yes/No Pass/FaiL/NA Pass/Fai/NA Yes Name (Mr/Mrs/Miss/Ms) 24(kл Dar ·e Pose Pass 0.0009 N 2 Address | Lovinya lourt Pass ,no,low,"attached to Zoho 2024-12-27; scanned, no text"
2406742000016173028,1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,zoho,I lovinya Court Gas cert 3.5.22.jpg,gas,,2022-05-03,,no,low,"attached to Zoho 2021-05-22; image attachment, not downloaded"
2406742000016173028,1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,zoho,hillingdon gas certificate.pdf,gas,,,,no,low,"attached to Zoho 2020-05-22; scanned, no text; OCR (unverified) next check due: 2021-05-20"
2406742000016173028,1 Lovinya Court Hillingdon Avenue Sevenoaks TN13 3QZ,zoho,"1 Lovinya Court gas certificate, 4.7.23.pdf",gas,2023-07-01,2023-07-04,Name: Beaumont Residential Address: 1 Lovinya Court Hillingdon Avenue Sevenoaks Kent Postcode: tn133qz Contact Number: Appliance Details Loc,yes,high,attached to Zoho 2022-07-05; next check due
2406742000000703006,1 Onslow Close E4 6QD,zoho,1 onslow close EICR - 28-8-31.pdf,EICR,,2031-08-28,"OCR: 1, ONSLOW CLOSE LONDON Issued in accordance with BS 7671: 2018 (as amended) - Requirements for Electrical Installations Tel No: 043952 Pleas",no,low,"attached to Zoho 2026-09-07; scanned, no text; OCR (unverified) inspection 2026-08-29 + 5 years (interval not found): 2031-08-29"
2406742000000703006,1 Onslow Close E4 6QD,drive,2024-06-04__propertysauce-co__EICR_ 1 Onslow Close. 6.9.26 (1).pdf,EICR,,2026-09-06,"OCR: Flat 1 Onslow close, Chingford, London ,E4 Email: N/A 3. REASON FOR PRODUC Annual Report Date(s) inspection and testing carried out: 6/09//2",no,low,"email date 2024-06-04; matched by filename (high: street:1.0,housenum); scanned, no text; OCR (unverified) inspection 2023-09-06 + 5 years (interval not found): 2028-09-06"
2406742000000703006,1 Onslow Close E4 6QD,zoho,EICR_ 1 Onslow Close. 6.9.26.pdf,EICR,,2026-09-06,"OCR: Flat 1 Onslow close, Chingford, London ,E4 Email: N/A 3. REASON FOR PRODUC Annual Report Date(s) inspection and testing carried out: 6/09//2",no,low,"attached to Zoho 2023-09-08; scanned, no text; OCR (unverified) inspection 2023-09-06 + 5 years (interval not found): 2028-09-06"
2406742000000703006,1 Onslow Close E4 6QD,zoho,1onslow close EPC 16.07.2029.pdf,EPC,2029-07-16,2029-07-16,"1, Onslow Close, LONDON, E4 6QD",yes,high,attached to Zoho 2019-12-19; date of certificate 2019-07-17 + 10 years - 1 day (gov.uk convention)
2406742000000703006,1 Onslow Close E4 6QD,zoho,1 Onslow Close Gas Certificate 13.2.2021.pdf,gas,,2021-02-13,,no,low,"attached to Zoho 2020-07-07; scanned, no text"
2406742000000703006,1 Onslow Close E4 6QD,zoho,"1 Onslow Close, gas certificate 6.1.2022.jpg",gas,,2022-01-06,,no,low,"attached to Zoho 2021-01-13; image attachment, not downloaded"
2406742000000703006,1 Onslow Close E4 6QD,zoho,1 Onslow Gas certificate 11.12.2019.pdf,gas,,2019-12-11,,no,low,"attached to Zoho 2019-12-19; scanned, no text"
2406742000000703006,1 Onslow Close E4 6QD,drive,"2024-06-04__propertysauce-co__Gas cert for 1 Onslaw Close E4 6QD, 2024 (1).pdf",gas,,,OCR: kW/h or Btuh or heat input Pass/FailNA Yes/No Pass/FaiVNA Pass/FailNA (if applicable) Yes/No Yes/No Pass/Fai/NA Yes/No Name (Mr/Mrs/Miss/Ms),no,low,"email date 2024-06-04; matched by filename (medium: street:0.85,housenum,postcode); scanned, no text"
