name,gas,eicr,epc,lic,ins,rent,ten,gasapp
"32 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-07-01,ok 2036-08-17,N/A (Exempt From Licensing),MISSING,550,2026-08-17->None,No Gas Supply - N/A
"40 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-06-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,695,2026-08-11->None,No Gas Supply - N/A
"37 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-06-01,ok 2036-04-11,N/A (Exempt From Licensing),MISSING,695,2026-08-03->None,No Gas Supply - N/A
"44 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-06-01,ok 2036-04-11,N/A (Exempt From Licensing),MISSING,695,2026-07-24->None,No Gas Supply - N/A
"38 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-31,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,750,2026-07-14->None,No Gas Supply - N/A
"31 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-07-14->None,No Gas Supply - N/A
"33 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-06-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,695,None->None,No Gas Supply - N/A
"6a Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-25,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,500,2026-08-03->None,No Gas Supply - N/A
"2a Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-07-01,ok 2036-07-12,N/A (Exempt From Licensing),MISSING,500,2026-07-06->None,No Gas Supply - N/A
"6 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-07-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,550,2026-07-06->None,No Gas Supply - N/A
"1A Lancaster House, Browrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-07-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-07-03->None,No Gas Supply - N/A
"7 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-07-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-07-14->None,No Gas Supply - N/A
"32b Lancaster House, Brownrigg Drive, Cramlington , NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,500,2026-06-19->None,No Gas Supply - N/A
"8 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-06-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-06-19->None,No Gas Supply - N/A
"35 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-31,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,750,2026-06-06->None,No Gas Supply - N/A
"34 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-31,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,750,2026-06-06->None,No Gas Supply - N/A
"42 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-31,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,750,2026-06-19->None,No Gas Supply - N/A
"15 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-15,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-06-06->None,No Gas Supply - N/A
"39 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-31,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,750,2026-06-06->None,No Gas Supply - N/A
"41 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-06-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,695,2026-06-25->None,No Gas Supply - N/A
"43 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-06-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,750,2026-06-06->None,No Gas Supply - N/A
"14 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-15,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-06-06->None,No Gas Supply - N/A
"10 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-15,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-05-25->None,No Gas Supply - N/A
"13 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-15,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-05-25->None,No Gas Supply - N/A
"9 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-15,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-05-20->None,No Gas Supply - N/A
"Flat 11 Lancaster House, Browrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-15,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-05-18->None,No Gas Supply - N/A
"12 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-15,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-05-18->None,No Gas Supply - N/A
"16 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-04-29,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-05-05->None,No Gas Supply - N/A
"5 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-07-01,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,550,2026-09-03->None,No Gas Supply - N/A
"4 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-05-15,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-08-04->None,No Gas Supply - N/A
"2 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-04-21,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-05-25->None,No Gas Supply - N/A
"1 Lancaster House, Browrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-04-21,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,None->None,No Gas Supply - N/A
"3 Lancaster House, Browrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-04-21,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,None->None,No Gas Supply - N/A
"28 Lancaster House, Brownrigg Dr, Cramlington NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,None->None,No Gas Supply - N/A
"30 Lancaster House, Brownrigg Drive, Cramlington NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,None->None,No Gas Supply - N/A
"27 Lancaster House, Brownrigg Drive, Cramlington NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-04-24->None,No Gas Supply - N/A
"29 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-04-17->None,No Gas Supply - N/A
"25 Lancaster House, Brownrigg Drive, Cramlington, NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-04-20->None,No Gas Supply - N/A
"24 Lancaster House, Brownrigg Drive, Cramlington NE23 6UN",N/A,ok 2031-03-24,ok 2036-04-12,N/A (Exempt From Licensing),MISSING,650,2026-04-20->None,No Gas Supply - N/A
