date,account,amount,description,reason,transaction_id
"2019-08-05","BUSINESS ACCOUNT","3990.00","D & D HOMES FINDERS FEE xxxxxxxxxxxxxxxxxx xxxxx8 10 05AUG19 17:25 FPI","fee, refund or repayment from a third party, not rent","1626078000000218003"
"2020-05-27","BUSINESS ACCOUNT","46500.00","BBLxxxx2020","loan drawdown or repayment","1626078000000647009"
"2021-03-16","BUSINESS ACCOUNT","1075.00","BEAUMONT RESIDENTI BEDFORD RETURN","own company or director transfer (decision 6), not tenant rent","1626078000001261170"
"2021-04-12","BUSINESS ACCOUNT","1350.00","STUR EAST RE LTD STURGE REFUND RPxxxxxxxxxxxx5500 207690 10 12APR21 13:15","fee, refund or repayment from a third party, not rent","1626078000001331005"
"2021-06-22","BUSINESS ACCOUNT","1300.00","BEAUMONT RESIDENTI MORLEY RETURN","own company or director transfer (decision 6), not tenant rent","1626078000001510013"
"2021-09-01","BUSINESS ACCOUNT","2300.00","MURRAY MJ RETURN xxxxxxxxxxxxxx9001 404759 10 01SEP21 18:39","own company or director transfer (decision 6), not tenant rent","1626078000001665011"
"2021-10-01","BUSINESS ACCOUNT","1175.00","TANC RESIDENTIAL L TRANSFER xxxxxxxxxxxxx5000N 600441 10 01OCT21 09:15","own company or director transfer (decision 6), not tenant rent","1626078000001742111"
"2022-02-07","BUSINESS ACCOUNT","27.20","MU+SU BUS AC SW DEPOSITGFF 55 COOP RPxxxxxxxxxxxx2200 205274 10 07FEB22 10:28","own company or director transfer (decision 6), not tenant rent","1626078000002003113"
"2022-07-18","BUSINESS ACCOUNT","1000.00","MURRAY D MANAGEFEES xxxxxxxxxxxxx8000N 600526 10 16JUL22 21:00","own company or director transfer (decision 6), not tenant rent","1626078000002389011"
"2022-07-27","BUSINESS ACCOUNT","1287.65","BEAUMONT RESIDENTI COMMISSION","own company or director transfer (decision 6), not tenant rent","1626078000002421025"
"2022-08-19","BUSINESS ACCOUNT","20.00","WWW.MYDEPOSITS.CO. CD 9924","card refund or cashback","1626078000002483190"
"2022-08-26","BUSINESS ACCOUNT","1200.00","BEAUCATT HOMES LIM FRIDGESX3","own company or director transfer (decision 6), not tenant rent","1626078000002500003"
"2022-10-19","BUSINESS ACCOUNT","250.00","O HARE JAMES E114PS LPE1 FORM FP22292Oxxxx4107 070806 10 19OCT22 20:48","insurance, ground rent or service charge contribution (Freehold Management), not rent","1626078000002638005"
"2022-12-09","BUSINESS ACCOUNT","3900.00","BEAUMONT RESIDENTI BEDFORDREFUND","own company or director transfer (decision 6), not tenant rent","1626078000002772007"
"2023-01-04","BUSINESS ACCOUNT","150.00","BEAUCATT HOMES LIM HMRCBEAHOMEPENALTY","own company or director transfer (decision 6), not tenant rent","1626078000002833003"
"2023-01-17","BUSINESS ACCOUNT","13.02","SoundCloud Monthly DE 16.00 VISAXR 1.22888 CD 6252","card refund or cashback","1626078000002854067"
"2023-01-19","BUSINESS ACCOUNT","2700.00","BEAUMONT RESIDENTI xxxxxxxxxxx9360","own company or director transfer (decision 6), not tenant rent","1626078000002859011"
"2023-01-23","BUSINESS ACCOUNT","60.00","MU+SU BUS AC SW C MOT RPxxxxxxxxxxxx0000 205274 10 23JAN23 19:39","own company or director transfer (decision 6), not tenant rent","1626078000002868005"
"2023-03-03","BUSINESS ACCOUNT","5000.00","BEAUMONT RESIDENTI 13FEBREFUND","own company or director transfer (decision 6), not tenant rent","1626078000002985005"
"2023-03-03","BUSINESS ACCOUNT","1100.00","BEAUMONT RESIDENTI 1MARCHREFUND","own company or director transfer (decision 6), not tenant rent","1626078000002985003"
"2023-03-07","BUSINESS ACCOUNT","1133.33","BEAUMONT RESIDENTI ELLIEWINDMIREFUND","own company or director transfer (decision 6), not tenant rent","1626078000002985267"
"2023-03-07","BUSINESS ACCOUNT","4000.00","BEAUCATT HOMES LIM LOANREPAY","own company or director transfer (decision 6), not tenant rent","1626078000002985243"
"2023-03-07","BUSINESS ACCOUNT","570.00","BEAUCATT HOMES LIM LOANREPAY","own company or director transfer (decision 6), not tenant rent","1626078000002985241"
"2023-03-07","BUSINESS ACCOUNT","609.00","MURRAY D & SULLIVA F1474REPAY xxxxxxxxxxxxx5000R 161614 10 07MAR23 15:23","own company or director transfer (decision 6), not tenant rent","1626078000002985231"
"2023-03-07","BUSINESS ACCOUNT","2500.00","MURRAY D & SULLIVA LOANREPAY xxxxxxxxxxxxx0000R 161614 10 07MAR23 15:38","own company or director transfer (decision 6), not tenant rent","1626078000002985223"
"2023-03-07","BUSINESS ACCOUNT","1500.00","MURRAY D & SULLIVA LOANREPAY xxxxxxxxxxxxx3000R 161614 10 07MAR23 15:38","own company or director transfer (decision 6), not tenant rent","1626078000002985221"
"2023-03-07","BUSINESS ACCOUNT","548.00","BEAUCATT HOMES LIM FIREDOORS","own company or director transfer (decision 6), not tenant rent","1626078000002985207"
"2023-03-07","BUSINESS ACCOUNT","480.00","BEAUCATT HOMES LIM UPTODATEMANFEES","own company or director transfer (decision 6), not tenant rent","1626078000002985205"
"2023-03-17","BUSINESS ACCOUNT","800.00","BEAUMONT RESIDENTI xxxxxxxxxxx9360","own company or director transfer (decision 6), not tenant rent","1626078000003022003"
"2023-03-27","BUSINESS ACCOUNT","500.00","BEAUCATT HOMES LIM REIMBURSE","own company or director transfer (decision 6), not tenant rent","1626078000003051073"
"2023-03-31","BUSINESS ACCOUNT","1069.25","MURRAY D 127RETURN xxxxxxxxxxxxx7000N 600526 10 31MAR23 11:26","own company or director transfer (decision 6), not tenant rent","1626078000003067134"
"2023-05-09","BUSINESS ACCOUNT","1300.00","BEAUMONT RESIDENTI 122MORLEYDEPOSITRE","own company or director transfer (decision 6), not tenant rent","1626078000003163003"
"2023-05-12","BUSINESS ACCOUNT","250.00","MURRAY D & SULLIVA TRANS xxxxxxxxxxxxx0000R 161614 10 12MAY23 15:07","own company or director transfer (decision 6), not tenant rent","1626078000003177136"
"2023-07-10","BUSINESS ACCOUNT","150.00","MURRAY D & SULLIVA TRANSFER xxxxxxxxxxxxx9000R 161614 10 10JUL23 18:42","own company or director transfer (decision 6), not tenant rent","1626078000003309273"
"2023-07-26","BUSINESS ACCOUNT","870.00","DAMIAN MURRAY MS xxxxxxxxxxxxxx8677 GF 225 CHURCH RENT 161614 10 26JUL23 10:44","own company or director transfer (decision 6), not tenant rent","1626078000003351167"
"2023-08-10","BUSINESS ACCOUNT","50.00","LUXE STAY INV362HIGHST xxxxxxxxxxxxx3879 236972 40 10AUG23 16:28","own company or director transfer (decision 6), not tenant rent","1626078000003398013"
"2023-08-21","BUSINESS ACCOUNT","2000.00","BEAUMONT RESIDENTI xxxxxxxxxxx9360 19AUG23","own company or director transfer (decision 6), not tenant rent","1626078000003423066"
